,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Barren area (kms),Distance to the closest Settlement (kms),Distance to the closest Shrubland (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Wetland (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Distance to the closest Substation (kms),meters,Elevation of Turbines (meters),Slope,Lat,Long,Australia,France,India,Italy,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
652,27.93156937,193.69124707692313,4.297805966307692,4.022136296923077,41.666102681538455,13.456219457692306,1.1752326834615388,19.04156488923077,1.3403374759538464,17.471735650769233,1.472594059923077,2.9454343221538464,1.9827932343076924,306.0066180538462,22.69230769230769,2.7026930769230764,-38.28467562230769,141.96031963846158,1,0,0,0,0,0,0,0,0,0,6.4903461538461515,7.353973076923077,8.08268153846154
719,23.79112819652174,97.96913463043482,2.2448008996086948,3.896022118869564,46.97928468478262,7.621265028173911,4.5094405584782615,5.901376531608696,30.335818424347824,35.872287021304345,1.830672701491305,6.478534369260871,47.14032548,338.93654732173917,394.4347826086956,5.4814313043478275,-33.86382156956521,138.12247714782606,1,0,0,0,0,0,0,0,0,0,6.7389600000000005,7.689066086956522,8.457578260869568
233,12.345531545,215.40491475,2.5381482965,6.2492500060000005,95.70455829,3.272857725,1.0187711218000002,45.28778298,0.46055141375,19.884202985,8.9738965015,0.8651857359999999,137.3923125,320.3559225,109.5,1.718665,-35.03619376,117.31988665,1,0,0,0,0,0,0,0,0,0,7.18878,7.875489999999999,8.752410000000001
585,16.102729163416665,100.38951138208334,5.6574990690833316,5.9679240392083335,6.511621486041666,9.457344710124998,1.0165513840708331,6.0754107072500005,3.2997062849625,3.1516692246666658,1.8748033650833331,2.101996190170833,6.902081992,309.51981305833334,75.70833333333333,2.6750854166666658,-40.827553070416656,148.02770072083334,1,0,0,0,0,0,0,0,0,0,6.2126754166666665,7.319343333333332,8.413378333333332
349,14.5433635596875,143.61044556874995,2.8393675784375003,7.528454463499997,55.734365692500006,7.427530123781251,7.765544560125001,13.959749536562498,65.9089906246875,34.983183975625,8.113474568374999,2.13739014444375,2.7281308306781247,476.49157744062506,680.03125,4.7553153125000005,-33.287354928125,138.72162256875,1,0,0,0,0,0,0,0,0,0,6.780291875000001,7.837304375,8.60704875
346,21.11453153354839,63.79919526870968,3.2661830672903216,11.144221467129032,43.91605303290322,14.259241031935485,0.7640862975483871,44.22028460064517,27.796480148064518,58.84843461967742,2.515814423580646,4.77238807783871,11.916130175483868,294.21770961290315,850.0,5.016460645161291,-34.690596962903236,149.3733493838709,1,0,0,0,0,0,0,0,0,0,6.368360967741934,7.266263548387097,8.322734193548389
804,14.52058167833333,19.14228979083333,4.247257002,4.1796565929166665,34.83156809166667,9.727388681,1.4090682973166666,36.142314291666665,10.612747153666668,3.2483292196666667,1.7312887979750002,1.4011155097166668,2.8378333016666666,0.0,559.8333333333334,4.4960233333333335,-37.39167137750001,143.61189799166667,1,0,0,0,0,0,0,0,0,0,7.169923333333332,8.247100000000001,9.2825
798,168.04008035000004,7.450449940375,2.2432920405,3.4557901122500003,103.0256231375,2.090868704,557.2130713125,60.43785434625,3.537412717,3.739502062125,2.039118165,3.5201707277499987,6.6902052557500005,451.29448820000005,79.75,0.83147625,49.7189414625,3.315863246375,0,1,0,0,0,0,0,0,0,0,5.3687375,6.615197500000002,7.73870125
510,301.640958975,15.020329035,4.38030605175,9.6926433315,74.77423513250002,5.598391945,303.907565825,18.4058229,12.2718135575,25.58458046,2.509814411,6.305700964250001,2.3982550695,322.455996425,130.0,0.6792175,47.120885345,1.93761559825,0,1,0,0,0,0,0,0,0,0,5.194575,6.406445,7.4346700000000014
176,185.38677145,27.67683554,7.773927160875,4.11233969175,111.2442239375,2.293234727,552.81576145,54.25352741375,13.111005353750002,12.03891006,7.282512591624999,2.4592213002500003,4.51061426025,426.18526305,139.875,0.8799899999999999,49.69020281625,3.9629929547500002,0,1,0,0,0,0,0,0,0,0,5.43613375,6.65397625,7.787225
499,300.271091625,31.9236373275,3.04073742975,1.9384152875000005,49.598836355,1.72610968025,23.3209760425,33.1544868375,2.75269731875,74.758610325,1.0692151027,0.69233367335,3.188526226,242.20957175,779.75,4.0329700000000015,44.08033564,2.68436632825,0,1,0,0,0,0,0,0,0,0,6.7194225,7.268397500000001,7.7332600000000005
357,167.5173987,25.13751771625,6.239604790375,7.241242161000001,82.51115059625,1.3653324541249998,563.9614707750002,48.76922375125,10.058314121625001,3.4052509477500004,1.179314753075,3.2283132432499997,0.65754686525,222.523683225,101.25,0.9428625,49.712708225,2.511387810875,0,1,0,0,0,0,0,0,0,0,5.68176875,7.03708125,8.1817425
625,167.3401112,20.32042188,7.752039525,7.547963491,75.85743737,0.9644141121,567.0143922,41.14640192,8.698467643999999,6.374575778,2.574791116,11.21335103,2.081483435,484.43694280000005,120.0,1.22272,49.72668809,2.400821857,0,1,0,0,0,0,0,0,0,0,5.71771,7.00978,8.183860000000001
620,207.65895610666664,38.13929666066667,2.1491988536,8.222294472133333,90.66038179133335,2.478338792866667,539.0047980066666,36.59850174266667,11.871373965999998,20.433464014000002,4.8458396481333335,4.067512228866667,2.3631931297333333,284.59765843333327,125.66666666666669,2.300567333333334,49.56071929866667,4.2551185832666665,0,1,0,0,0,0,0,0,0,0,5.2847979999999986,6.5408079999999975,7.650754666666665
565,212.8247828375,38.07104681875,3.462033027375,3.4596449860000003,86.5774584675,1.4768677100999998,535.276621475,33.4073790775,15.0374831825,18.353681175,5.024692930125,2.0974648461250003,1.6374183565,543.548439075,116.0,2.5335224999999997,49.53450108875,4.33062579625,0,1,0,0,0,0,0,0,0,0,5.25574125,6.4940050000000005,7.62924625
634,168.16880480000003,21.12988953,8.269193844,8.157316871,76.43552009,1.057328089,566.1877814,40.98934039,9.45522474,7.19215699,3.102246843,11.16471238,1.237492967,393.08310530000006,128.0,0.24458,49.71911053,2.400782114,0,1,0,0,0,0,0,0,0,0,5.72688,7.0346,8.22151
276,135.31792423076922,31.913252609230767,3.6794263649230765,3.877622551846154,51.004088563846146,1.897518723230769,580.0445261076923,14.589652939230769,16.734181508461536,8.464265740923077,2.299410811461539,1.6513043627692303,2.1997819969230767,375.9046010615384,178.53846153846158,0.6302161538461538,49.77405910076924,1.9228205943076924,0,1,0,0,0,0,0,0,0,0,5.79062,7.122263076923076,8.285805384615383
690,37.160226603333335,23.13796014,7.500386640333332,4.064769733666666,15.623615888333333,3.7775045276666672,471.83581079999993,4.956292916833333,6.710396445,3.044273245666666,2.9980011399999995,0.6253550946333333,6.941482282333332,310.9885158833334,35.333333333333336,0.7453966666666667,47.05596627,-1.8379190221666668,0,1,0,0,0,0,0,0,0,0,5.650996666666668,6.778604999999999,7.690176666666666
797,302.8012513000001,18.846848213333327,9.522810455888887,2.0499046365555547,21.10560807333333,2.575436760666667,457.6022415222222,20.587363254444444,11.844930646666667,11.251605257555557,2.1553497116666667,1.1497620791777776,1.9539750822222224,401.1642670666667,291.0,1.6221966666666665,48.93738951,5.209741678555555,0,1,0,0,0,0,0,0,0,0,5.8898922222222225,7.050197777777778,7.928521111111111
681,202.7665397,37.511133406666666,13.587889336666665,19.886123966666666,41.599563988333344,2.0033288678333334,312.9007248333333,2.936735515333333,26.470722371666664,31.373891431666664,2.8867003483333336,5.7196608573333325,3.0380968225,333.24988748333334,94.33333333333331,1.4689933333333332,45.975817165,0.012384524951166669,0,1,0,0,0,0,0,0,0,0,5.385358333333333,6.6701733333333335,7.749281666666667
