,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Lat,Long,Australia,France,India,Italy,Japan,Philippines,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
0,43.102964858,37.3503612535,2.996722837,2.9575536533999998,16.798079883000007,5.588400813400001,1.1046244082640002,1.9034217673600005,30.653551779,18.5294101865,120.71692391,0,0,0,0,0,1,0,0,0,0,0,0,8.221716500000001,8.948387,9.659273499999998
1,317.3844663428572,21.83369365357143,5.431565197785714,5.645124962642855,5.123615408357142,7.741224997928572,16.705037519285714,5.225968372,10.626942999857144,48.484201644285704,4.201312661785714,0,1,0,0,0,0,0,0,0,0,0,0,5.333576428571429,6.548454999999998,7.55990357142857
2,235.08033119047616,14.479911300000001,6.236652709904763,1.0555239661,7.038402277047617,29.91655395857143,15.741601234761903,2.5984048260476187,1.879780145571429,43.09268978952381,-8.694400120333333,0,0,0,0,0,0,0,0,0,1,0,0,6.526465714285713,7.51245380952381,8.393480476190481
4,304.0448164416666,24.57171384583333,7.771940972916667,1.1962115652499998,6.339142883916668,11.048033369166667,9.113318604333331,3.3427430829166664,0.4831547685166666,43.61468735083333,-7.6643476271666655,0,0,0,0,0,0,0,0,0,1,0,0,8.408890000000001,8.778516666666668,9.285760833333333
5,299.10532631551723,19.56296489568965,6.756940869224138,1.1456006617051722,10.574031420206893,13.771948528103454,12.038053869655169,1.409438954487931,0.7983866552293102,43.57572092155172,-7.6995103184655145,0,0,0,0,0,0,0,0,0,1,0,0,7.63870120689655,8.320052931034482,9.105624655172413
6,293.4113706594594,11.153913393513513,2.824081455027028,3.7749205654864864,7.154709568621622,17.54634931135135,6.1972042439729735,0.6008657275081081,0.855730305135135,43.54273159270269,-7.80420605545946,0,0,0,0,0,0,0,0,0,1,0,0,7.254062432432432,8.039836756756756,8.89428162162162
7,289.2363242847458,11.397453022271195,6.383423589372883,1.5624579787000847,4.267857968271188,22.46886463254237,4.570080875271186,1.5804100503177976,1.4112870659705938,43.493434236440685,-7.748458316059319,0,0,0,0,0,0,0,0,0,1,0,0,7.880969491525429,8.544794237288134,9.239963305084745
8,137.86728678253968,63.45824964619049,6.272938884158728,2.9409271683857146,7.177639094031742,5.393771168492063,12.739592943031747,4.239609652539682,5.74461979838095,39.16076806793652,-1.155277931063492,0,0,0,0,0,0,0,0,0,1,0,0,6.1334555555555585,6.920610634920634,7.610185079365079
9,124.08907744444444,16.78978215,3.6529617765555553,7.496965293814813,2.7005954219814816,36.912546890370386,25.911553157407408,1.9658525364814816,0.8472391862740741,41.18872847,15.300576451111114,0,0,0,1,0,0,0,0,0,0,0,0,6.6039933333333325,6.779107777777778,7.339063703703704
10,87.612403982,11.819172194,7.122921614800001,2.5596292522,2.2954716044000003,20.817579932,5.387528981799999,1.0202484894,2.5713070748,40.729629818,15.893524952000003,0,0,0,1,0,0,0,0,0,0,0,0,3.7334660000000004,4.001972,4.549118
