,Distance to the closest Airport (kms),Distance to the closest Builtup (kms),Distance to the closest roads (kms),Distance to the closest Agricultural area (kms),Distance to the closest Settlement (kms),Distance to the closest Vegetation (kms),Distance to the closest Water (kms),Distance to the closest Forest (kms),Distance to the closest Grassland (kms),Lat,Long,Australia,France,India,Italy,Japan,Philippines,Portugal,Scotland,South Africa,Spain,Thailand,Turkey,Wind speed at 50,Wind speed at 100,Wind speed at 200
1110,27.93156937,193.69124707692313,4.297805966307692,4.022136296923077,13.456219457692306,19.04156488923077,1.3403374759538464,1.472594059923077,2.9454343221538464,-38.28467562230769,141.96031963846158,1,0,0,0,0,0,0,0,0,0,0,0,6.4903461538461515,7.353973076923077,8.08268153846154
1249,23.79112819652174,97.96913463043482,2.2448008996086948,3.896022118869564,7.621265028173911,5.901376531608696,30.335818424347824,1.830672701491305,6.478534369260871,-33.86382156956521,138.12247714782606,1,0,0,0,0,0,0,0,0,0,0,0,6.7389600000000005,7.689066086956522,8.457578260869568
370,12.345531545,215.40491475,2.5381482965,6.2492500060000005,3.272857725,45.28778298,0.46055141375,8.9738965015,0.8651857359999999,-35.03619376,117.31988665,1,0,0,0,0,0,0,0,0,0,0,0,7.18878,7.875489999999999,8.752410000000001
989,16.102729163416665,100.38951138208334,5.6574990690833316,5.9679240392083335,9.457344710124998,6.0754107072500005,3.2997062849625,1.8748033650833331,2.101996190170833,-40.827553070416656,148.02770072083334,1,0,0,0,0,0,0,0,0,0,0,0,6.2126754166666665,7.319343333333332,8.413378333333332
591,14.5433635596875,143.61044556874995,2.8393675784375003,7.528454463499997,7.427530123781251,13.959749536562498,65.9089906246875,8.113474568374999,2.13739014444375,-33.287354928125,138.72162256875,1,0,0,0,0,0,0,0,0,0,0,0,6.780291875000001,7.837304375,8.60704875
588,21.11453153354839,63.79919526870968,3.2661830672903216,11.144221467129032,14.259241031935485,44.22028460064517,27.796480148064518,2.515814423580646,4.77238807783871,-34.690596962903236,149.3733493838709,1,0,0,0,0,0,0,0,0,0,0,0,6.368360967741934,7.266263548387097,8.322734193548389
1392,14.52058167833333,19.14228979083333,4.247257002,4.1796565929166665,9.727388681,36.142314291666665,10.612747153666668,1.7312887979750002,1.4011155097166668,-37.39167137750001,143.61189799166667,1,0,0,0,0,0,0,0,0,0,0,0,7.169923333333332,8.247100000000001,9.2825
1067,151.32087490555554,16.224639108888887,1.7009688813833332,3.7398636326666663,1.7614274289111114,65.58408918166666,7.988601170888889,5.794116780666668,6.6628295019444455,49.84375856833332,2.7350189261111115,0,1,0,0,0,0,0,0,0,0,0,0,5.58486611111111,6.938845,8.096685
616,297.54038778181814,32.90934536909091,3.9901013332727273,6.736662988090908,2.7902386436363638,13.197878913636362,16.289214860909087,6.755465595818182,6.5142870280909095,48.66008971363636,4.149301542181819,0,1,0,0,0,0,0,0,0,0,0,0,5.523095454545453,6.697188181818182,7.676810000000001
576,211.358057875,25.6251831075,6.154296752875,8.27024364425,1.517499362,9.115724063375,5.9881196766250016,3.080744868125,15.962049577499998,48.19541462,2.130062806125,0,1,0,0,0,0,0,0,0,0,0,0,5.48875375,6.805126250000002,7.901569999999999
331,124.63586976,25.866096814000002,2.6756566928,4.4992550032,1.3622237216,37.237900506,20.059203794000002,1.5397014560799998,1.5408957164,50.106319043999996,2.4898591984,0,1,0,0,0,0,0,0,0,0,0,0,5.769616,7.111389999999999,8.266700000000002
1103,116.778752724,5.545743977200002,6.532134281,0.859149429268,0.770148796612,4.205501258520001,1.013419805952,2.18694206616,0.8108582166799999,43.44665337200001,4.7908787751999995,0,1,0,0,0,0,0,0,0,0,0,0,6.4923028,7.512914399999999,8.514848400000004
305,303.83140570000006,11.510621035714285,2.8074476451428576,8.557946294857143,1.7642031195714285,18.68709617142857,9.46143746342857,1.0075332404714286,2.869640969857143,47.129753874285704,2.0268482928571427,0,1,0,0,0,0,0,0,0,0,0,0,4.8666528571428564,6.1465900000000016,7.202088571428571
1299,273.96900170666675,14.832057900999994,6.1043839906666655,12.032875407,3.0290309866333334,12.072500703333333,13.591563640666664,4.081927109266666,4.384909033633334,48.89300926500001,4.191889287966667,0,1,0,0,0,0,0,0,0,0,0,0,5.2531539999999985,6.50493,7.567011999999999
801,126.79169590000001,22.51896360166667,6.688497140166668,2.2199933525,1.3753678948333334,37.57692957166665,17.83040041,5.055965785333333,1.6520666591666668,50.15788317666667,2.141187866333333,0,1,0,0,0,0,0,0,0,0,0,0,5.848678333333333,7.119180000000001,8.266205000000001
1105,271.9208430666667,16.696961323333333,5.794184395000001,3.51551014,1.5045801363333335,11.039219945,14.453524923333333,2.7451122851666665,6.151208184166667,48.66977121833333,3.569858491,0,1,0,0,0,0,0,0,0,0,0,0,5.209726666666667,6.393068333333333,7.446296666666666
991,32.19267260500001,26.228840815,4.2588072483333335,4.617551981999999,2.530197424166667,12.278577410000002,1.9761661425,4.5867139198333335,3.6966243289999996,47.51864780333333,-2.450438892833333,0,1,0,0,0,0,0,0,0,0,0,0,6.2825766666666665,7.169665000000001,7.748854999999999
555,316.29158601666666,11.270118285,4.850759547666667,4.824571057499999,2.107027217166667,28.93092665666667,13.733610895,1.7223814044999999,1.3644688796833335,48.83045947166666,5.297275290666668,0,1,0,0,0,0,0,0,0,0,0,0,5.829184999999999,6.984223333333333,7.877999999999999
832,192.00067391666667,37.38190772166666,3.4469196341666666,17.778650799999994,1.2300721859166666,22.53865068333333,7.6356057486666655,1.7040929625,7.034458587333332,46.16484669666667,-0.026456245016666668,0,1,0,0,0,0,0,0,0,0,0,0,5.6651966666666675,6.979964999999999,8.050235
1039,237.2983736,18.56842145,5.595821333,14.83509192,1.629862131,11.24305317,15.62906418,4.393155688,15.89561775,48.14394034,2.537843592,0,1,0,0,0,0,0,0,0,0,0,0,5.2605,6.55824,7.67313
1341,151.55885020000005,15.219495878,7.789728484599999,5.4214925094,1.09197264896,33.781881314,5.919009014199999,1.5824460306,7.530103176999999,49.903671331999995,2.1083294748,0,1,0,0,0,0,0,0,0,0,0,0,5.6662,6.9512839999999985,8.168225999999999
93,355.69510875,3.9359343706666663,6.997759923333334,1.3884303335,1.7514128738333332,42.02544784166667,12.629717991666665,1.0717791563833332,0.9567489908166666,49.10204133333334,6.617621625833333,0,1,0,0,0,0,0,0,0,0,0,0,5.575588333333332,6.751616666666666,7.678985000000001
